nome,autores,area_do_conhecimento,dado,ano,resume,link_do_artigo
"  1. Avante Luta Antimanicomial, ocupemos os planos diretores das cidades","Honorato, Gitonam Lucas Tavares .",Ciência & Saúde Coletiva,"Jan 2022, Volume 27 Nº 1 Páginas 27 - 38","['Jan 2022', ' Volume 27 Nº 1 Páginas 27 - 38']",Resumo: EN PT | Texto: EN PT | PDF: EN | PDF: PT,https://doi.org/10.1590/1413-81232022271.19802021
  2. SMART CITIES AND THE MEASUREMENT OF URBAN ECONOMY AND ENTREPRENEURIAL INDICATORS: THE CASE OF PASSO FUNDO/RS,"Müller, Letícia ; Silva, Thaísa Leal da .",Revista de Administração da UFSM,"Out 2021, Volume 14 Nº spe1 Páginas 987 - 1009","['Out 2021', ' Volume 14 Nº spe1 Páginas 987 - 1009']",Resumo: PT EN | Texto: PT EN | PDF: PT | PDF: EN,https://doi.org/10.5902/1983465964952
  3. Smart Cities: extrafiscalidade como indutora do desenvolvimento de cidades inteligentes,"Carli, Franco Guerino de ; Ribas, Lídia Maria .",Interações (Campo Grande),"Mar 2021, Volume 22 Nº 1 Páginas 131 - 150","['Mar 2021', ' Volume 22 Nº 1 Páginas 131 - 150']",Resumo: EN PT ES | Texto: EN PT ES | PDF: EN | PDF: PT | PDF: ES,https://doi.org/10.20435/inter.v22i1.2794
  4. Public Value in the Perception of Citizens from the Perspective of Smart Cities,"Salmoria, Fernanda Tasso ; Félix Júnior, Luiz Antônio ; Guimarães, Júlio Cesar Ferro de ; Nodari, Cristine Hermann ; Guimarães, Luciana Gondim de Almeida .",BAR - Brazilian Administration Review,"2021, Volume 18 Nº 4 elocation e200116","['2021', ' Volume 18 Nº 4 elocation e200116']",Resumo: EN | Texto: EN | PDF: EN,https://doi.org/10.1590/1807-7692bar2021200116
"  5. Mobilidade, participação e dados: o caso da aplicação do Waze for Cities Data na cidade de Joinville (SC)","Hiroki, Stella Marina Yurí .",urbe. Revista Brasileira de Gestão Urbana,"2021, Volume 13 elocation e20200030","['2021', ' Volume 13 elocation e20200030']",Resumo: EN PT | Texto: EN PT | PDF: EN | PDF: PT,https://doi.org/10.1590/2175-3369.013.e20200030
  6. Smart Tourism Destinations: (Mis)Aligning Touristic Destinations and Smart City Initiatives,"Cavalheiro, Mariana Brandão ; Joia, Luiz Antonio ; do Canto Cavalheiro, Gabriel Marcuzzo ; Mayer, Verônica Feder .",BAR - Brazilian Administration Review,"2021, Volume 18 Nº 1 elocation e190132","['2021', ' Volume 18 Nº 1 elocation e190132']",Resumo: EN | Texto: EN | PDF: EN,https://doi.org/10.1590/1807-7692bar2021190132
  7. “BRUSH UP”: AN INNOVATIVE TECHNOLOGICAL AID FOR PARENTS TO KEEP A CHECK OF THEIR CHILDREN’S ORAL HYGIENE BEHAVIOUR,"Desai, Ruttika Vijay ; Badrapur, Nivedita Chandrashekhar ; Mittapalli, Harshitha ; Srivastava, Bagepalli Keshavappa ; Eshwar, Shruthi ; Jain, Vipin .",Revista Paulista de Pediatria,"2021, Volume 39 elocation e2020085","['2021', ' Volume 39 elocation e2020085']",Resumo: EN PT | Texto: EN PT | PDF: EN | PDF: PT,https://doi.org/10.1590/1984-0462/2021/39/2020085
  8. Aprimoramentos sugeridos à ISO 37120 “Cidades e comunidades sustentáveis” advindos do conceito de cidades inteligentes,"Abreu, João Paulo Maciel de ; Marchiori, Fernanda Fernandes .",Ambiente Construído,"Jul 2020, Volume 20 Nº 3 Páginas 527 - 539","['Jul 2020', ' Volume 20 Nº 3 Páginas 527 - 539']",Resumo: EN PT | Texto: EN PT | PDF: EN | PDF: PT,https://doi.org/10.1590/s1678-86212020000300443
  9. WOULD BE SMART BALINESE CITIES (INDONESIA): AN EXPLORATORY INDONESIAN CASE,"Madakam, Somayya .",JISTEM - Journal of Information Systems and Technology Management,"2020, Volume 17 elocation e202017005","['2020', ' Volume 17 elocation e202017005']",Resumo: EN | Texto: EN | PDF: EN,https://doi.org/10.4301/s1807-1775202017005
"  10. Planejamento urbano do futuro, dados do presente: a proteção da privacidade no contexto das cidades inteligentes","Antonialli, Dennys Marcelo ; Kira, Beatriz .",Revista Brasileira de Estudos Urbanos e Regionais,"2020, Volume 22 elocation e202003","['2020', ' Volume 22 elocation e202003']",Resumo: EN PT | Texto: EN PT | PDF: EN | PDF: PT,https://doi.org/10.22296/2317-1529.rbeur.202003
  11. Smart Grid na América Latina: Caso Ampla de Inovação no Setor Elétrico,"Cavalcante, Ney Wagner Freitas ; Franco, Camila ; Almeida, Victor ; Freitas, Flavia d'Albergaria ; Tavares, Elaine .",Revista de Administração Contemporânea,"Jun 2019, Volume 23 Nº 3 Páginas 416 - 435","['Jun 2019', ' Volume 23 Nº 3 Páginas 416 - 435']",Resumo: EN PT | Texto: EN PT | PDF: EN | PDF: PT,https://doi.org/10.1590/1982-7849rac2019170128
  12. Smart Cities no Brasil e em Portugal: o estado da arte,"Alves, Maria Abadia ; Dias, Ricardo Cunha ; Seixas, Paulo Castro .",urbe. Revista Brasileira de Gestão Urbana,"2019, Volume 11 elocation e20190061","['2019', ' Volume 11 elocation e20190061']",Resumo: EN PT | Texto: EN PT | PDF: EN | PDF: PT,https://doi.org/10.1590/2175-3369.011.e20190061
  13. Low-cost wireless sensor network applied to real-time monitoring and control of water consumption in residences,"Alves, Arnon Jadir Rodrigues ; Manera, Leandro Tiago ; Campos, Marcel Veloso .",Revista Ambiente & Água,"2019, Volume 14 Nº 6 elocation e2407","['2019', ' Volume 14 Nº 6 elocation e2407']",Resumo: EN PT | Texto: EN PT | PDF: EN | PDF: PT,https://doi.org/10.4136/ambi-agua.2407
"  14. Influência de parâmetros meteorológicos na geração de energia em painéis fotovoltaicos: um caso de estudo do Smart Campus Facens, SP, Brasil","Francisco, Ana Carolina Camargo ; Vieira, Henrique Ewbank de Miranda ; Romano, Regiane Relva ; Roveda, Sandra Regina Monteiro Masalskiene .",urbe. Revista Brasileira de Gestão Urbana,"2019, Volume 11 elocation e20190027","['2019', ' Volume 11 elocation e20190027']",Resumo: EN PT | Texto: EN PT | PDF: EN | PDF: PT,https://doi.org/10.1590/2175-3369.011.e20190027
  15. The influence of context in the implementation of a smart city project: the case of Cidade Inteligente Búzios,"Brandão, Mariana ; Joia, Luiz Antonio .",Revista de Administração Pública,"Dez 2018, Volume 52 Nº 6 Páginas 1125 - 1154","['Dez 2018', ' Volume 52 Nº 6 Páginas 1125 - 1154']",Resumo: EN PT ES | Texto: EN PT ES | PDF: EN | PDF: PT | PDF: ES,https://doi.org/10.1590/0034-761220170133
  16. Aspectos legais e percepções sobre as estratégias para cidades inteligentes e criativas: estudo da cidade de Chapecó (SC),"Piekas, Andrezza Aparecida Saraiva ; Bernardy, Rógis Juarez ; Sehnem, Simone ; Fabris, Juliana .",urbe. Revista Brasileira de Gestão Urbana,"Nov 2018, Volume 10 Supl. 1 Páginas 197 - 211","['Nov 2018', ' Volume 10 Supl. 1 Páginas 197 - 211']",Resumo: EN PT | Texto: EN PT | PDF: EN | PDF: PT,https://doi.org/10.1590/2175-3369.010.supl1.ao11
  17. O uso da tecnologia da informação e comunicação para caracterizar os municípios: quem são e o que precisam para desenvolver ações de governo eletrônico e smart city,"Przeybilovicz, Erico ; Cunha, Maria Alexandra ; Meirelles, Fernando de Souza .",Revista de Administração Pública,"Ago 2018, Volume 52 Nº 4 Páginas 630 - 649","['Ago 2018', ' Volume 52 Nº 4 Páginas 630 - 649']",Resumo: EN PT ES | Texto: EN PT ES | PDF: EN | PDF: PT | PDF: ES,https://doi.org/10.1590/0034-7612170582
  18. Urbanismo de mercado. Las ciudades latinoamericanas y el neoliberalismo realmente existente,"Schiavo, Ester Clelia ; Gelfuso, Alejandro Gabriel .",Cadernos Metrópole,"Ago 2018, Volume 20 Nº 42 Páginas 423 - 442","['Ago 2018', ' Volume 20 Nº 42 Páginas 423 - 442']",Resumo: EN ES | Texto: EN ES | PDF: EN | PDF: ES,https://doi.org/10.1590/2236-9996.2018-4206
  19. Acessibilidade e Tecnologia na Construção da Cidade Inteligente,"Alperstedt Neto, Carlos Augusto ; Rolt, Carlos Roberto de ; Alperstedt, Graziela Dias .",Revista de Administração Contemporânea,"Abr 2018, Volume 22 Nº 2 Páginas 291 - 310","['Abr 2018', ' Volume 22 Nº 2 Páginas 291 - 310']",Resumo: EN PT | Texto: EN PT | PDF: EN | PDF: PT,https://doi.org/10.1590/1982-7849rac2018170295
  20. Analysis of the Impacts of the Electrification of the Vehicle Fleet in the Electric Power System in Curitiba,"Brati, Rossetto, Matheus ; Maria, Lourenço, Elizete .",Brazilian Archives of Biology and Technology,"2018, Volume 61 Nº spe elocation e18000031","['2018', ' Volume 61 Nº spe elocation e18000031']",Resumo: EN | Texto: EN | PDF: EN,https://doi.org/10.1590/1678-4324-smart-2018000031
  21. O direito à cidade e as agendas urbanas internacionais: uma análise documental,"Andrade, Elisabete Agrela de ; Franceschini, Maria Cristina Trousdell .",Ciência & Saúde Coletiva,"Dez 2017, Volume 22 Nº 12 Páginas 3849 - 3858","['Dez 2017', ' Volume 22 Nº 12 Páginas 3849 - 3858']",Resumo: EN PT | Texto: EN PT | PDF: EN | PDF: PT,https://doi.org/10.1590/1413-812320172212.24922017
  22. PAVING THE WAY TO SMART SUSTAINABLE CITIES: TRANSFORMATION MODELS AND CHALLENGES,"Ibrahim, Maysoun ; Adams, Carl ; El-Zaart, Ali .",JISTEM - Journal of Information Systems and Technology Management,"Dez 2015, Volume 12 Nº 3 Páginas 559 - 576","['Dez 2015', ' Volume 12 Nº 3 Páginas 559 - 576']",Resumo: EN | Texto: EN | PDF: EN,https://doi.org/10.4301/S1807-17752015000300004
  23. A CONCEPTUAL MULTIDIMENSIONAL MODEL FOR ASSESSING SMART SUSTAINABLE CITIES,"Al-Nasrawi, Sukaina ; Adams, Carl ; El-Zaart, Ali .",JISTEM - Journal of Information Systems and Technology Management,"Dez 2015, Volume 12 Nº 3 Páginas 541 - 558","['Dez 2015', ' Volume 12 Nº 3 Páginas 541 - 558']",Resumo: EN | Texto: EN | PDF: EN,https://doi.org/10.4301/S1807-17752015000300003
  24. Cidades inteligentes como nova prática para o gerenciamento dos serviços e infraestruturas urbanos: a experiência da cidade de Porto Alegre,"Weiss, Marcos Cesar ; Bernardes, Roberto Carlos ; Consoni, Flavia Luciane .",urbe. Revista Brasileira de Gestão Urbana,"Dez 2015, Volume 7 Nº 3 Páginas 310 - 324","['Dez 2015', ' Volume 7 Nº 3 Páginas 310 - 324']",Resumo: EN PT | Texto: EN PT | PDF: EN | PDF: PT,https://doi.org/10.1590/2175-3369.007.003.AO01
  25. Monitoramento de informação em mídias sociais: o e-Monitor Dengue,"Antunes, Michele Nacif ; Silva, Cícera Henrique da ; Guimarães, Maria Cristina Soares ; Rabaço, Marcelo Henrique Leoni .",Transinformação,"Abr 2014, Volume 26 Nº 1 Páginas 9 - 18","['Abr 2014', ' Volume 26 Nº 1 Páginas 9 - 18']",Resumo: EN PT | Texto: EN PT | PDF: EN | PDF: PT,
  26. Inteligência emocional: testando a enfermagem do futuro,"Santos, Laína Maíza dos ; Almeida, Francismeuda Lima de ; Lemos, Stefânia da Costa .",Revista Brasileira de Enfermagem,"Set 1999, Volume 52 Nº 3 Páginas 401 - 412","['Set 1999', ' Volume 52 Nº 3 Páginas 401 - 412']",Resumo: EN PT ES | Texto: EN PT ES | PDF: EN | PDF: PT | PDF: ES,https://doi.org/10.1590/S0034-71671999000300010
